Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,45.799999,47.299999,45.779999,46.619999,46.619999,691622
2020-02-17,46.700001,48.500000,46.180000,47.380001,47.380001,1038998
2020-02-18,46.840000,47.759998,45.799999,46.299999,46.299999,809648
2020-02-19,46.500000,49.240002,46.500000,49.200001,49.200001,769407
2020-02-20,49.320000,49.580002,47.779999,49.000000,49.000000,1050354
2020-02-21,49.500000,49.540001,47.660000,48.380001,48.380001,665498
2020-02-24,47.599998,47.599998,45.060001,45.400002,45.400002,1262072
2020-02-25,45.540001,46.139999,44.099998,44.099998,44.099998,781908
2020-02-26,45.400002,45.799999,43.380001,45.680000,45.680000,932815
2020-02-27,45.480000,45.480000,42.200001,43.000000,43.000000,858960
2020-02-28,40.000000,41.799999,39.200001,40.740002,40.740002,964905
2020-03-02,41.500000,42.480000,39.160000,39.939999,39.939999,1083762
2020-03-03,40.599998,41.139999,39.099998,39.099998,39.099998,596885
2020-03-04,39.099998,39.340000,37.599998,37.840000,37.840000,639630
2020-03-05,38.799999,39.000000,36.939999,37.099998,37.099998,895825
2020-03-06,36.860001,36.980000,35.500000,35.959999,35.959999,771002
2020-03-09,33.980000,34.799999,33.040001,33.919998,33.919998,865718
2020-03-10,34.020000,35.720001,33.099998,33.400002,33.400002,660174
2020-03-11,33.720001,34.599998,31.620001,31.820000,31.820000,621942
2020-03-12,30.000000,30.400000,26.100000,26.280001,26.280001,1857222
2020-03-13,27.000000,28.799999,25.680000,26.379999,26.379999,1400040
2020-03-16,25.020000,26.200001,23.020000,25.639999,25.639999,1587409
2020-03-17,26.000000,27.139999,23.799999,25.620001,25.620001,704777
2020-03-18,24.980000,26.360001,24.059999,24.700001,24.700001,949539
2020-03-19,24.620001,25.900000,24.020000,25.540001,25.540001,671947
2020-03-20,26.240000,27.100000,25.260000,25.660000,25.660000,935404
2020-03-23,25.000000,25.000000,23.580000,23.820000,23.820000,777228
2020-03-24,24.500000,25.200001,24.299999,24.459999,24.459999,456204
2020-03-25,25.180000,27.320000,24.740000,25.820000,25.820000,1463663
2020-03-26,25.639999,25.639999,24.360001,25.059999,25.059999,927769
2020-03-27,25.080000,25.299999,23.639999,23.740000,23.740000,915832
2020-03-30,23.920000,25.200001,22.840000,25.200001,25.200001,885363
